"file","id","modified","result","result_description","rob_name","rob_id","rob_description","group_id","group_name"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-11-25 10:22:03 +0000","UNKNOWN","""Random allocation"", allocated in a placebo 3: progabide 10 ratio.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-08-06 09:48:45 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-11-25 10:24:36 +0000","UNKNOWN","One person left progabide group early (day 19) - confusional state & depressive symptoms. No details were provided about this patient. Person with manic-depressive illness (1) not possible to separate from final analysis.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-08-06 16:30:15 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Burner-1989","2010-08-06 19:32:16 +0100","UNKNOWN","Very small sample size.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2010-11-25 10:23:28 +0000","YES","Randomised, stratified by age, sex, hospital, inpatient or community-based status, and high or low pretrial TD, using computer program (different weights).","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2010-11-25 10:23:34 +0000","YES","Co-ordinated by hospital pharmacists.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2011-03-01 12:19:35 +0000","UNKNOWN","Not possible to separate people with manic-depressive psychosis or recurrent depression from the analysis. 15 people left early (11 on sodium valproate group and 4 on placebo); reasons - protocol violation, poor compliance, ill-health, pneumonia, unstable medication. No details were provided about these patients.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2010-08-06 16:30:20 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Fisk-1987","2010-08-06 16:40:08 +0100","UNKNOWN","Small sample size.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-11-25 10:22:03 +0000","UNKNOWN","""Random allocation"", no further details.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-08-06 09:49:49 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-11-25 10:23:07 +0000","UNKNOWN","Two people left study early (refusal to continue medication); unclear about the treatment status of these people.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-08-06 16:30:25 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Gerlach-1978","2010-08-06 19:32:22 +0100","UNKNOWN","Very small sample size; crossover design.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-11-25 10:22:36 +0000","UNKNOWN","""Random allocation"", using 2 X 2 Latin square.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-08-06 09:50:07 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-11-25 10:22:44 +0000","UNKNOWN","One person left early (valproate).","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-08-06 16:30:29 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Linnoila-1976","2010-08-06 19:32:28 +0100","UNKNOWN","Small sample size; crossover design.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-11-25 10:22:03 +0000","UNKNOWN","""Random allocation"", no further details.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-08-06 09:50:20 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-08-06 09:50:20 +0100","UNKNOWN","Data about improvement and compliance not possible to extract.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-08-06 16:30:34 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Nair-1978","2010-08-06 19:32:34 +0100","UNKNOWN","Very small sample size; crossover design.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-11-25 10:21:18 +0000","UNKNOWN","""Random allocation"", sequential assignment determined by prepackaged medication bottles.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-08-06 09:50:58 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-11-25 10:20:58 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-08-06 09:50:58 +0100","UNKNOWN","3 (1 baclofen) people left study early due to poor compliance, protocol violation, adverse reactions. No further details were given about these patients.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-08-06 16:30:40 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Stewart-1982","2010-08-06 16:41:03 +0100","UNKNOWN","Small sample size.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-11-25 10:20:05 +0000","UNKNOWN","""Random allocation"", no further details.","Adequate sequence generation?","QIT-01","Was the allocation sequence adequately generated?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-08-06 09:51:25 +0100","UNKNOWN","No further details.","Allocation concealment?","QIT-02","Was allocation adequately concealed?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-11-25 10:20:17 +0000","UNKNOWN","""Double"" - no further details.","Blinding?","QIT-03","Was knowledge of the allocated interventions adequately prevented during the study?","QIG-03.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-08-06 09:51:32 +0100","YES","No person left study early.","Incomplete outcome data addressed?","QIT-04","Were incomplete outcome data adequately addressed?","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-08-06 16:30:46 +0100","UNKNOWN","No details.","Free of selective reporting?","QIT-05","Are reports of the study free of suggestion of selective outcome reporting?","",""
"../ALL-2015-06/G-P/Gamma-aminobutyric acid agonists for neuroleptic-induced tardive dyskinesia [v13.0-For publication].rm5","STD-Thaker-1987","2010-08-06 19:32:41 +0100","UNKNOWN","Very small sample size; crossover design.","Free of other bias?","QIT-06","Was the study apparently free of other problems that could put it at a high risk of bias?","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2015-02-20 12:05:44 +0000","UNKNOWN","Randomised, no further details were provided.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2013-04-20 06:04:53 +0100","UNKNOWN","Not described by authors.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2013-12-26 22:08:55 +0000","UNKNOWN","""The study design was double blind, with crossover and placebo control."" No further details were provided.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2013-12-26 22:08:43 +0000","UNKNOWN","""The raters were kept blind to the results"". The specific method by which blinding was achieved was not described.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2015-03-18 14:43:59 +0000","YES","No attrition among participants was reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2013-12-27 00:37:06 +0000","NO","Not all outcomes were accounted for e.g. the specific number of participants who showed none, minimal, moderate or marked improvement in their tardive dyskinesia symptoms from both arms of the study were not reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2001","2013-12-26 22:23:48 +0000","UNKNOWN","The authors did not give details as to what extent raters in the study were independent. It was not mentioned if any funding was received for the study. The specific diagnostic criteria used for inclusion of participants in the study was not mentioned.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2015-02-20 12:05:31 +0000","UNKNOWN","Randomised, no further descriptions.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2013-04-20 05:52:54 +0100","UNKNOWN","Specific method of allocation concealment not described. "" After breaking the code following database lock......""","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2013-12-26 22:15:01 +0000","UNKNOWN","Double blind, no further details was provided.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2013-12-27 00:55:35 +0000","UNKNOWN","""The plasma levels of Vitamin B6 were not reported to the raters, in order to keep them 'blind' to the patients' drug assignment."" The specific method by which blinding was achieved was not described. The extent to which the raters were independent was not mentioned by the authors.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2015-02-20 12:06:02 +0000","YES","All participants randomised at the beginning of the study were accounted for.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2013-12-26 22:34:55 +0000","YES","There is no evidence of selective reporting in the study.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Lerner-2007","2013-12-26 22:15:42 +0000","YES","Funded by Stanley Medical Research Institute.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:39:15 +0000","UNKNOWN","Randomised, no further description.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:39:53 +0000","UNKNOWN","No specific method of allocation was described.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:41:33 +0000","UNKNOWN","Double blind, no further details were provided.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:44:18 +0000","UNKNOWN","""patients and investigators were blinded to the results of pyridoxal phosphate assessment"". The specific method by which this was achieved was not stated. The level to which raters were independent is unknown.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2015-02-20 12:06:06 +0000","YES","All randomised participants were accounted for at the end of the trial.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:45:39 +0000","YES","No evidence of selective reporting was found.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Pyridoxal 5 phosphate for neuroleptic-induced tardive dyskinesia [v2.0-For publication].rm5","STD-Miodownik-2003","2014-01-28 09:47:52 +0000","UNKNOWN","The authors did not state if there was any source of funding. ","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-09-25 12:32:15 +0100","UNKNOWN","Randomised. No further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-08-22 14:27:37 +0100","UNKNOWN","No details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-05-01 02:23:49 +0100","UNKNOWN","Clinician/participant mediated and participants and personnel not blinded. unclear risk.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-06-07 04:00:16 +0100","YES","Authors state: Interviewers formally blind to patient group allocation.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-06-05 07:44:35 +0100","NO","Full ITT analysis with imputed data for all missing values not reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-05-30 04:45:12 +0100","UNKNOWN","All outcomes of interest fully reported for each intervention. No protocol available.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2002","2013-09-25 12:32:15 +0100","YES","No details. No evidence of other bias are occurring.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-06-04 04:05:23 +0100","UNKNOWN","Participants drew a card from an envelope but no details provided regarding the generation of the random sequence or whether cards were shuffled beforehand.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-05-10 05:54:12 +0100","UNKNOWN","Patients drew a card from an envelope. No further details provided so it is unclear if envelope was opaque and sealed. ","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-05-01 02:24:10 +0100","UNKNOWN","Clinician/participant mediated and participants and personnel not blinded. unclear risk.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-05-31 02:19:15 +0100","YES","Raters blind so detection bias rated as low.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-09-25 12:32:15 +0100","UNKNOWN","Number and reason for missing data clearly reported in flow sheet. Missing outcome data balanced across groups. Full ITT analysis with imputed data for all missing values not reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-05-30 04:47:35 +0100","UNKNOWN","In the report, the results are fully reported. There is no protocol.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Baker-2006","2013-04-02 04:10:45 +0100","YES","Funded by public institution. No evidence other biases are occurring.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-05-10 05:35:04 +0100","YES","Computer-generated list stratified for sex and three types of substance use.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-04-02 04:14:35 +0100","YES","Allocated by third party.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-09-25 12:32:16 +0100","UNKNOWN","Clinician/participant mediated and participants and personnel not blinded. Unclear risk.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-05-31 02:18:55 +0100","YES","Raters independent and blind so detection bias rated as low.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-05-24 04:30:56 +0100","UNKNOWN","Missing outcome data balanced in numbers across intervention groups, with similar reasons for missing data across groups. ","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-05-13 05:32:45 +0100","YES","No selective reporting evident between study protocol (N0244032344) and published article.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/G-P/Psychosocial interventions for people with both severe mental illness and substance misuse [v10.2-For publication].rm5","STD-Barrowclough-2001","2013-09-25 12:32:16 +0100","YES","Funded by public institution (local health authorities). No evidence other bias occurring.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
